place,mag,time,felt
"30km NE of Hualian, Taiwan",4.7,1461770858450,0.94
"34km NE of Hualian, Taiwan",5.5,1461770234440,0.83
"2km WNW of Hualian, Taiwan",4.3,1461635148050,0.65
"66km S of Hualian, Taiwan",4.3,1461559950200,0.76
"48km N of Taitung City, Taiwan",4.3,1461553106250,0.91
"46km N of Taitung City, Taiwan",4.2,1460934749540,0.44
"81km ESE of Taitung City, Taiwan",4.9,1460804145250,0.91
"14km ESE of Hualian, Taiwan",4.4,1460430478800,0.43
"5km SW of Su'ao, Taiwan",3.9,1460345124170,0.75
"32km SSW of Taitung City, Taiwan",4.1,1460104275420,0.99
"14km ENE of Taitung City, Taiwan",4.3,1459152480680,0.91
"45km ENE of Hengchun, Taiwan",4.1,1458585290760,0.83
"5km WNW of Hualian, Taiwan",4.5,1456843332340,0.86
"13km N of Yilan, Taiwan",4,1456709774230,0.62
"48km S of Taitung City, Taiwan",4.4,1456541992930,0.9
"37km NW of Taitung, Taiwan",4.7,1455758312470,0.88
"31km NW of Taitung City, Taiwan",4.9,1455757779290,0.66
"38km NW of Taitung City, Taiwan",4.6,1455595495680,0.92
"29km NW of Taitung City, Taiwan",4.3,1455590758980,0.51
"37km NW of Taitung City, Taiwan",4.2,1455513757750,0.89
"14km SE of Hualian, Taiwan",4.9,1454978821430,0.85
"16km SE of Tainan, Taiwan",4.1,1454766115910,1.38
"25km SE of Yujing, Taiwan",6.4,1454702247380,1.19
"30km E of Taitung City, Taiwan",4.1,1453304144920,0.74
"21km ENE of Taitung City, Taiwan",5.6,1453169607240,0.82
"22km NE of Hualian, Taiwan",4.1,1452705758230,0.98
"23km ENE of Hualian, Taiwan",4.1,1452705107530,0.89
"65km S of Hualian, Taiwan",4.6,1452487977870,1.15
"24km SSE of Su'ao, Taiwan",3.9,1451836809600,1.13
"22km NE of Hualian, Taiwan",4.1,1451102724110,1.18
"11km SSW of Daxi, Taiwan",4,1451077805300,0.63
"12km ENE of Buli, Taiwan",4.4,1450992022170,1.11
"17km ESE of Buli, Taiwan",4,1450984712930,1.01
"20km SSE of Hualian, Taiwan",4,1450895999710,0.66
"66km NNE of Taitung, Taiwan",4.3,1449935241170,0.78
"70km SSW of Hualian, Taiwan",4.3,1449934783920,0.64
"38km ENE of Hualian, Taiwan",4.3,1449376969000,0.8
"31km SE of Taitung City, Taiwan",5.1,1449153072860,0.68
"7km E of Yilan, Taiwan",4,1449106666240,0.52
"36km NE of Hualian, Taiwan",4.4,1449035580800,0.87
"39km NE of Hualian, Taiwan",4.6,1449033717400,1.3
"45km E of Taitung City, Taiwan",4.1,1447479154400,0.9
"53km ENE of Hengchun, Taiwan",4,1447326864750,0.63
"17km SE of Keelung, Taiwan",4.2,1447277515600,0.59
"29km ESE of Hualian, Taiwan",4.5,1446714387100,1.22
"52km E of Taitung City, Taiwan",5.5,1446412180750,0.99
"29km SE of Hualian, Taiwan",4,1446032870600,0.98
"28km S of Taitung City, Taiwan",4.1,1445390071920,1.48
"25km ENE of Yilan, Taiwan",4.5,1445239585800,0.51
"26km ENE of Yilan, Taiwan",4.5,1445239216020,0.38
"25km E of Yilan, Taiwan",4.5,1445233332100,0.68
"22km ENE of Yilan, Taiwan",4,1445226946800,0.49
"30km SSW of Su'ao, Taiwan",4,1444953268000,0.47
"33km SSW of Su'ao, Taiwan",4.2,1444953166100,0.49
"59km S of Hualian, Taiwan",4.9,1444736944240,0.96
"48km SE of Taitung City, Taiwan",4.9,1444648487120,1.06
"42km E of Taitung City, Taiwan",3.9,1443980461620,1.06
"5km NW of Hualian, Taiwan",4.2,1443555464990,0.73
"31km SSE of Pingtung, Taiwan",4.2,1443074278900,0.79
"39km NE of Hualian, Taiwan",4,1443007976270,0.54
"15km W of Tainan, Taiwan",4.2,1442423807170,1.09
"34km NNE of Hualian, Taiwan",4.6,1442413798320,0.64
"38km NE of Hualian, Taiwan",4.5,1442410226340,0.7
"38km NE of Hualian, Taiwan",5.2,1442408939120,0.8
"37km NE of Hualian, Taiwan",4,1442396345850,0.57
"35km NE of Hualian, Taiwan",4.1,1442369238080,0.49
"35km NE of Hualian, Taiwan",4,1442349838740,0.98
"39km NE of Hualian, Taiwan",5.3,1442345854830,1.09
"33km NE of Hualian, Taiwan",4.3,1442339783250,0.81
"35km NE of Hualian, Taiwan",4.6,1441898607880,1.05
"30km ENE of Yilan, Taiwan",4,1441867601980,0.53
"46km SSE of Taitung City, Taiwan",4.3,1441725356100,1.19
"27km ENE of Yilan, Taiwan",4.5,1441163016400,0.64
"30km ENE of Yilan, Taiwan",4.4,1441160293510,0.96
"42km ESE of Taitung City, Taiwan",4,1441150083640,0.91
"13km SW of Hualian, Taiwan",5,1441113885100,0.79
"47km WSW of Su'ao, Taiwan",4.5,1438066751940,0.9
"51km NE of Taitung City, Taiwan",4.3,1437819936400,0.63
"16km WSW of Hualian, Taiwan",4,1437582374130,0.9
"10km N of Yujing, Taiwan",4.4,1436521130100,1.03
"56km SSE of Hualian, Taiwan",4.3,1434471670550,0.87
"61km SSE of Hualian, Taiwan",4.5,1434467767670,0.8
"46km ENE of Hengchun, Taiwan",4.2,1432648381770,0.96
"30km WNW of Taitung City, Taiwan",4.7,1432588969960,1.05
"36km W of Miaoli, Taiwan",4.1,1431628549200,1.12
"10km W of Hualian, Taiwan",4.3,1431387795900,1.05
"39km W of Miaoli, Taiwan",4.5,1431334438000,1.2
"40km W of Miaoli, Taiwan",4.6,1431333501500,1.03
"36km W of Miaoli, Taiwan",4,1431029529870,0.88
"37km W of Miaoli, Taiwan",4.3,1430484887000,1.29
"21km SE of Hualian, Taiwan",4,1430321237630,0.69
"3km NNW of Hualian, Taiwan",4.5,1430147695200,0.94
"38km S of Hualian, Taiwan",4.9,1429528847620,0.85
"20km E of Taitung City, Taiwan",4.4,1429127317600,1.26
"14km ESE of Buli, Taiwan",4.5,1428945237400,1.11
"3km NW of Hualian, Taiwan",4.5,1428267026400,1.14
"56km ESE of Taitung City, Taiwan",4.2,1427483380190,1.22
"31km SSE of Hualian, Taiwan",5.5,1427105630880,1.14
"22km E of Taitung City, Taiwan",4.2,1424018647200,0.71
"31km ESE of Taitung City, Taiwan",6.2,1423857992330,1.09
"30km NNE of Hualian, Taiwan",4.3,1423726535110,0.65
"22km WSW of Hengchun, Taiwan",4.8,1423331235570,1.23
"26km WSW of Su'ao, Taiwan",4.4,1423037687020,0.74
"27km NNE of Pingtung, Taiwan",4.5,1422286153000,1.23
"24km SSE of Yujing, Taiwan",4.5,1422284898300,1.34
"11km NNW of Yujing, Taiwan",4.6,1422083726400,1.19
"34km E of Taitung City, Taiwan",4.4,1421639312210,0.85
"11km E of Taitung City, Taiwan",4.1,1421589802800,1.06
"9km NNE of Yujing, Taiwan",4.4,1421520003580,0.98
"19km SE of Su'ao, Taiwan",4.4,1421435535070,0.92
"32km NNE of Hualian, Taiwan",5.1,1420606113600,0.55
"18km ENE of Su'ao, Taiwan",4.4,1420437226270,0.98
"33km SSW of Hualian, Taiwan",4.4,1420132244700,1.12
"7km NNE of Yilan, Taiwan",4.6,1419995164230,0.7
"53km NE of Taitung City, Taiwan",4.3,1418533562170,1
"11km NNE of Yujing, Taiwan",4.1,1418421020700,1.08
